Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Мистер гриль,,Быстрое питание; Доставка готовых блюд; Кафе,"улица Щетинкина, 32",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.2,14,89029666185,,,,,,,,https://wa.me/79029666185,,,,,,,,53.726387,91.442788,https://2gis.com/firm/70000001079920551
Пиросмани,кафе,Доставка готовых блюд; Кафе; Банкетные залы; Пекарни,"улица Маршала Жукова, 35",цокольный этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (служба доставки: вт-вс 12:00-22:00),+07:00,4.4,84,89831912081,89831912043,,,,http://pirosmani19.ru,,https://vk.com/pirosmaniabakan,https://wa.me/79831912081,https://wa.me/79831912043,,viber://chat/?number=79831912043,,,,,53.728214,91.45989,https://2gis.com/firm/70000001007455245
Ташкент,чайхана,Кафе,"улица Вяткина, 20 к1",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00,+07:00,3.4,51,89832596777,,,,,,,,,,,,,,,,53.726571,91.446952,https://2gis.com/firm/70000001052262497
PROЖАРКА,стэйк-хаус,Доставка готовых блюд; Кафе; Пиццерии; Суши-бары,"Пушкина, 22",1 этаж,655152,Южный м-н,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (служба доставки: пн-вс 10:00-22:30),+07:00,3.9,231,83902213522 (служба бронирования),89831913521 (единый номер: пн-вс 10:00-23:00),,,,,,https://vk.com/prozharka19,,,,,,https://t.me/prozharka19,,,53.825212,91.316551,https://2gis.com/firm/70000001031857427
Кабанчик,кафе,Доставка готовых блюд; Кафе; Мясо / Полуфабрикаты,"Ломоносова, 6",,655011,МПС м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+07:00,3.5,45,83902266866,,,,,,,,,,,,,,,,53.706566,91.405463,https://2gis.com/firm/9711414977496233
Блин.ок,кафе,Кафе; Доставка готовых блюд,"улица Карла Маркса, 59",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+07:00,2.7,98,89831912104,,,,,http://abakan.chibbis.ru/blinok/menu,,https://vk.com/blinok19,https://wa.me/79832724970,,,,,,,,53.728761,91.437647,https://2gis.com/firm/9711414977496227
Wok лагман,кафе,Кафе,"проспект Ленина, 98",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00,+07:00,4.1,65,89235941881 (Номер для предзаказа),,,,,,,,,,,,,,,,53.721639,91.435364,https://2gis.com/firm/70000001034429838
Хаан,кафе,Кафе; Доставка готовых блюд,"улица Тараса Шевченко, 69",2 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.4,39,89016004212,,,,,,,https://vk.com/id710172482,,,,,,,,,53.7207,91.457072,https://2gis.com/firm/70000001057528582
Booster,кофейня,Кофейни,"проспект Дружбы народов, 43",1 этаж,655016,8-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.0,91,89232126598,,,,,http://boosterfamily.ru,,https://vk.com/booster_coffee,,,,,,,,,53.744896,91.416395,https://2gis.com/firm/70000001063968103
Шашлык джан,кафе,Кафе; Доставка готовых блюд,"улица Тельмана, 92",,655001,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:30-22:00; Вт: 10:30-22:00; Ср: 10:30-22:00; Чт: 10:30-22:00; Пт: 10:30-22:00; Сб: 10:30-22:00; Вс: 10:30-22:00,+07:00,3.2,44,89532581777,83902327000 (служба доставки),,,,,,,https://wa.me/79532581777,,,viber://chat/?number=79532581777,,,,,53.730761,91.434538,https://2gis.com/firm/70000001057637377
У толстяка,кафе,Кафе,"Автодорога Енисей 414 км, 2",1 этаж,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,2.8,9,89617423846,89607754106,,,,,,,https://wa.me/79617423846,,,,,,,,53.703676,91.361399,https://2gis.com/firm/9711414977544566
Позная №1,кафе,Кафе; Доставка готовых блюд,"проспект Дружбы народов, 2",1 этаж,655010,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,3.1,52,89130512222,89835851111,,,,,,,,,,,,,,,53.735983,91.439906,https://2gis.com/firm/70000001021157697
Traveler`s coffee,кофейня,Кофейни; Доставка готовых блюд,"улица Карла Маркса, 16",25Н офис; 1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+07:00,2.7,224,83902251515,,,,,http://travelers-abakan.ru,,https://vk.com/travelers_abakan,,,,,,,,,53.722814,91.44031,https://2gis.com/firm/70000001029676258
Home cafe,кафе,Доставка готовых блюд; Банкетные залы; Кафе; Кейтеринг,"Крылова, 68 лит А",1 этаж,655003,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-17:00; Вт: 11:00-17:00; Ср: 11:00-17:00; Чт: 11:00-17:00; Пт: 11:00-17:00,+07:00,4.1,13,83902266220,89135465505,,,,,,,,,,,,,,,53.736976,91.445616,https://2gis.com/firm/70000001029653215
Лаззат,семейное кафе,Кафе; Доставка готовых блюд,"улица Торосова, 15",1 этаж,655016,8-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+07:00,4.4,32,89676137733,89235900077,,,,,,,https://wa.me/79235900077,https://wa.me/79676137733,,,,,,,53.741323,91.422163,https://2gis.com/firm/70000001050063738
Tesla,кафе,Кафе; Бары; Доставка готовых блюд,"улица Кретова, 16Б",2 этаж,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.2,268,89029586383,,,,,,,https://vk.com/tesla_minusinsk,,,,,,,,,53.691394,91.683808,https://2gis.com/firm/70000001030285960
Планета,кафе,Кафе; Доставка готовых блюд,"Крылова, 71Б",,655001,1-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+07:00,1.6,18,83902350210,,,,,,,,,,,,,,,,53.732488,91.42412,https://2gis.com/firm/9711414977496240
Шамбала,суши-бар,Доставка готовых блюд; Кафе; Суши-бары; Бары,"улица Тимирязева, 7Б",,662606,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+07:00,3.1,92,89538544700,,,,,http://sabyget.ru/shop/shambala,,https://vk.com/sb_shambala_24,,,,,,,,,53.693183,91.667671,https://2gis.com/firm/70000001033371979
У Бориса,закусочная,Кафе,"Итыгина, 12",1 этаж,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:00-18:00; Вт: 07:00-18:00; Ср: 07:00-18:00; Чт: 07:00-18:00; Пт: 07:00-18:00; Сб: 07:00-18:00,+07:00,4.4,18,89617410395,,,,,,,,https://wa.me/79617410395,,,,,,,,53.719127,91.403579,https://2gis.com/firm/70000001029487017
Everest,кафе,Кафе,"улица Катанова, 12 ряд 7",1 этаж,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+07:00,,,83902269270,,,,,,,,,,,,,,,,53.730891,91.473084,https://2gis.com/firm/70000001069500540
Kannam Chicken,кафе,Кафе,"Кирова, 179",1 этаж,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,,,,,,,,,,,,,,,,https://t.me/kannamchickenbot,,https://youtube.com/channel/UCzRPMFYLoIOSyPROT-yrmLA,53.725475,91.419199,https://2gis.com/firm/70000001080344948
Ручная лепка,пельменная,Кафе; Доставка готовых блюд; Мясо / Полуфабрикаты,"улица Лермонтова, 18",1 этаж,655016,8-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,4.0,80,89233791919,,,,,,,,,,,,,,,,53.740338,91.419698,https://2gis.com/firm/70000001034459561
Венеция,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"Ленина, 48а",,655131,Калинино-1,,,Усть-Абаканский район,Республика Хакасия,Россия,Пн: 12:00-16:00; Вт: 12:00-16:00; Ср: 12:00-16:00; Чт: 12:00-16:00; Сб: 18:00-02:00; Вс: 18:00-02:00 (по предварительной записи),+07:00,3.4,13,83902323203,89532593203,,,,,,https://vk.com/veneciya.cafe,https://wa.me/79532593203,,,,,,,,53.757417,91.405851,https://2gis.com/firm/9711414977573951
My coffee cup,кофейня,Кофейни,"улица Чертыгашева, 110",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:55-22:00; Вт: 07:55-22:00; Ср: 07:55-22:00; Чт: 07:55-22:00; Пт: 07:55-22:00; Сб: 07:55-22:00; Вс: 07:55-22:00,+07:00,4.2,65,89235993000,,,,,,,,https://wa.me/79233911999,,,,,https://t.me/my_coffee_cup,,,53.724888,91.441971,https://2gis.com/firm/70000001051435701
У Швейка,кафе,Кафе,"Федеральная трасса Р257 426 километр, 2",,,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,2.8,36,89232161553,,,,,,,,https://wa.me/79232161553,,,,,,,,53.655773,91.582414,https://2gis.com/firm/9711414977545476
Люмьер,кафе,Кафе,"Стофато, 12",2 этаж,655009,МПС м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,2.1,16,83902259333,,,,,,,https://vk.com/rolbi,,,,,,,,,53.698996,91.403238,https://2gis.com/firm/70000001039791504
Транзит,кафе,Столовые; Доставка готовых блюд,"Итыгина, 15Б",,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-17:00,+07:00,5.0,10,89134403290,,,,,,,,https://wa.me/79831980107,,,viber://chat/?number=79831980107,,,,,53.720108,91.401544,https://2gis.com/firm/9711414977510231
Есть поесть,кафе,Доставка готовых блюд; Кафе,"проспект Ленина, 73",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+07:00,4.0,140,89833749144,83902260502,,,,,,,https://wa.me/79235986333,https://wa.me/79833749144,,,,,,,53.721404,91.437846,https://2gis.com/firm/9711414977523024
Мимино,кафе,Кафе,"улица Маршала Жукова, 46",1 этаж,655003,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+07:00,3.8,9,89832571253,89061918975,,,,,,,https://wa.me/79832571253,,,,,,,,53.736077,91.458279,https://2gis.com/firm/70000001018929686
Копту,кафе,Кафе; Продукты быстрого приготовления,"улица Пушкина, 207а к7",,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 08:00-15:00; Вс: 08:00-17:00,+07:00,5.0,2,89130530017 (прием заказов),,,,,,,,,,,,,,,,53.713183,91.410654,https://2gis.com/firm/70000001063586610
Клюква,баристро,Кафе,"Абаканская улица, 58",1 этаж,662610,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,4.9,40,89504075933,,,,,http://klukva.2gis.biz,,https://vk.com/baristroklukva,https://wa.me/79504075933,,,,,,,,53.691669,91.66573,https://2gis.com/firm/70000001061930887
