Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Империал,кафе-ресторан,Кафе; Рестораны; Доставка готовых блюд; Суши-бары,"Смоленская, 1",1 этаж,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.5,113,89117871999,88126791999,89112161617,cafegrand98@yandex.ru,,http://cafeimperial.ru,,,,https://vk.com/cafeimperialspb,https://wa.me/79112161617,,,viber://chat/?number=79112161617,,https://t.me/+79119454772,,,59.903799,30.319758,https://2gis.com/firm/5348552841707409
Юи,кафе,Бары; Доставка готовых блюд; Кафе; Суши-бары,"Стрельнинская, 2 лит В",1 этаж,197198,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00 (до последнего гостя: пт-вс),+03:00,4.7,107,89643931300,,,yii.cuisine@gmail.com,,http://yitasty.ru,http://t.me/yitasty,,,,,,,,,,,,59.959355,30.299848,https://2gis.com/firm/70000001033560892
Bros Burritos,ресторан быстрого питания,Кафе; Быстрое питание,"Гороховая, 57",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:30; Сб: 11:00-23:30; Вс: 11:00-23:00,+03:00,4.5,297,88124580150,,,brosburritos@gmail.com,,http://brosburritos.ru,,,,https://vk.com/brosburritos,,,,,,,,,59.925944,30.325614,https://2gis.com/firm/70000001023908727
Mollie`s Mews,пивной паб,Бары; Кафе,"улица Большая Конюшенная, 5",цокольный этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+03:00,4.5,192,88125715171,,,mollymews@molly.su,,http://molliesmews.ru,,,,https://vk.com/mollies_group,,,,,,,,,59.9401,30.323856,https://2gis.com/firm/5348552840698446
Хачапури тетушки Марико,ресторан грузинской кухни,Рестораны; Доставка готовых блюд; Кафе,"улица Малая Садовая, 3/54",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.9,2198,89119207290,,,marikospb1@yandex.ru,,http://vhachapuri.ru,,,,https://vk.com/hachapuri__spb,,,,,,,,,59.934985,30.337533,https://2gis.com/firm/70000001035996741
Ода,кафе грузинской кухни,Кафе,"Измайловский проспект, 5",1 этаж,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.5,47,89657643274,89117078359,,,,,,,,,,,,viber://chat/?number=79657643274,,https://t.me/+79657643274,,,59.917676,30.307257,https://2gis.com/firm/70000001025916617
Feromon Bolshoy Prospekt,лаундж-бар,Центры паровых коктейлей; Бары; Антикафе; Кафе; Табачные изделия / Товары для курения,"Большой проспект П.С., 82",1-2 этаж,197136,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.6,46,89211818111,,,info@feromon.group,smm@feromon.group,http://feromon.group/?utm_source=2gis&utm_campaign=none,,,,https://vk.com/feromongroup,https://wa.me/79211818111,,,,,https://t.me/feromongroup,,,59.96409,30.308984,https://2gis.com/firm/70000001066074397
Hm.wait lounge,центр паровых коктейлей,Центры паровых коктейлей; Кафе; Бары,"Скандинавский проезд, 2",1 этаж,188678,Центральный м-н,,Мурино,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,4.9,67,88126042444,,,Waitlounge@yandex.ru,,http://hmwaitbar.ru/#rec538606566,,,,,,,,,,https://t.me/hmwaitlounge,,,60.053399,30.447156,https://2gis.com/firm/70000001040060052
Liman,кафе,Кафе; Рестораны; Пиццерии; Доставка готовых блюд,"Владимирский проспект, 8",1 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.9,286,88127603496,,,liman.restspb@gmail.com,,http://delivery.liman-spb.ru/,,,,https://vk.com/cafeliman,,,,,,,,,59.930954,30.348067,https://2gis.com/firm/70000001057352151
Питание+,столово-обеденный комплекс,Кафе; Столовые,"17-я линия В.О., 22 лит В",1 этаж,199178,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-19:00; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00,+03:00,4.5,71,89217734500,,,stolovaia10@mail.ru,,,,,,,,,,,,,,,59.938406,30.266874,https://2gis.com/firm/70000001026051160
Turk o`clock,кафе быстрого обслуживания,Быстрое питание; Доставка готовых блюд; Кондитерские изделия; Кафе,"набережная реки Фонтанки, 60",цокольный этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,4.7,127,89505839933,,,turkoclock@gmail.com,,http://Turk-oclock.ru,,,,https://vk.com/turkoclock,https://wa.me/79505839933,,,,,https://t.me/+79505839933,,,59.929115,30.338722,https://2gis.com/firm/70000001035515911
Finnegan`s Wake Irish Pub,бар,Бары; Банкетные залы; Доставка готовых блюд; Кафе,"Московский проспект, 192",1 этаж,196070,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+03:00,4.4,66,88123375755 (единый номер: пн-вс 12:00-1:00),,,finnegans@yandex.ru,,http://finnegans.ru,,,,https://vk.com/finnegans_pub,,,,,,https://t.me/bootleggersfinnegansgroup,,,59.864049,30.321301,https://2gis.com/firm/5348552838760261
Molly Shelter Pub,пивной паб,Бары; Кафе; Рестораны,"Итальянская, 29",цокольный этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.8,163,88123154754,,,mollyshelter@molly.su,,http://mollyshelter.ru,info2gis.tilda.ws/proxy18?target=https://mollyshelter.ru/&back=https://go.2gis.com/dm1a4a&mode=0,,,,,,,,,,,,59.935612,30.339425,https://2gis.com/firm/5348552838479926
Sb burgers,,Доставка готовых блюд; Кафе,"проспект Королёва, 65",1 этаж,197350,Коломяги,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-23:00,+03:00,3.9,134,88126848888,89681849888,,marketing@sbburgers.me,,http://sbburgers.ru/?utm_source=maps.2gis&utm_medium=organic%20-,http://sbburgers.ru,,,https://vk.com/sb_burgers,https://wa.me/79681849888,,,,,,,,60.032703,30.241415,https://2gis.com/firm/70000001034804549
Molly Malone Pub,пивной паб,Бары; Кафе; Доставка готовых блюд,"проспект Энгельса, 133 к1",2 этаж,194356,Сергиевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.4,46,88122960229,,,mollymalone@molly.su,,info2gis.tilda.ws/proxy18?target=https://mollymalonespb.ru/&back=https://go.2gis.com/k78afl&mode=0,http://molly.su,,,https://vk.com/mollies_group,,,,,,,,,60.049729,30.333618,https://2gis.com/firm/70000001046051107
Nem Nem,ресторан Юго-Восточной Азии,Рестораны; Кафе,"1-я линия В.О., 36",1 этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.2,119,89657773838,,,restaurant.nemnem57@gmail.com,,http://nemnem.ru,,,,,https://wa.me/79657773838,,,viber://chat/?number=79657773838,,,,,59.944031,30.287387,https://2gis.com/firm/70000001037972049
Артос,кафе,Кафе; Доставка готовых блюд,"улица 3-я Конная Лахта, 2Б",,197229,Лахта-Ольгино,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.2,9,89117044121,88123187327,,artos89117044121@mail.ru,info@artoscafe.ru,http://shashliki.spb.ru,,,,,https://wa.me/79117044121,,,,,https://t.me/+79117044121,,,60.022157,30.107416,https://2gis.com/firm/70000001036546462
Mollie`s Irish Pub,пивной паб,Бары; Кафе,"Рубинштейна, 36",цокольный этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+03:00,4.5,169,88125703768,89315885093,,molliespub@molly.su,,info2gis.tilda.ws/proxy18?target=https://molly.su/mollies/&back=https://2gis.ru/spb/firm/70000001046050981&mode=0,,,,,https://wa.me/79315885093,,,,,,,,59.927556,30.34329,https://2gis.com/firm/70000001046050981
Maneki neko ramen bar,,Кафе,"Литейный проспект, 36",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.4,183,89112871717,,,ramenmaneki@gmail.com,,http://ramenbar.tilda.ws,,,,https://vk.com/manekinekoramenbar,https://wa.me/79112871717,,,viber://chat/?number=79112871717,,https://t.me/+79112871717,,,59.939101,30.349253,https://2gis.com/firm/70000001061333273
Bullpen Bar,рестобар,Бары; Кафе; Доставка готовых блюд; Алкогольные напитки,"Дальневосточный проспект, 12 к2",1 этаж,193318,Правобережный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 15:00-02:00; Сб: 15:00-02:00; Вс: 15:00-01:00,+03:00,4.6,33,89046158835,,,,,info2gis.tilda.ws/proxy18?target=https://vk.com/bbullpen&back=https://2gis.ru/spb/firm/70000001038785228/30.440301%2C59.913996?m=30.440395%2C59.913935%2F19.67&mode=0 ,info2gis.tilda.ws/proxy18?target=https://t.me/bbullpen&back=https://2gis.ru/spb/firm/70000001038785228/30.440301%2C59.913996?m=30.440395%2C59.913935%2F19.67&mode=0 ,info2gis.tilda.ws/proxy18?target=https://bbullpen.clients.site/&back=https://2gis.ru/spb/firm/70000001038785228/30.440301%2C59.913996?m=30.440395%2C59.913935%2F19.67&mode=0 ,,,https://wa.me/79046397628,,,,,,,,59.913996,30.440301,https://2gis.com/firm/70000001038785228
BBQ Shaverma,сеть кафе быстрого питания,Быстрое питание; Доставка готовых блюд; Кафе,"Большой проспект В.О., 32/12",1 этаж,199034,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,940,89627171360,,,bbqshaverma@ya.ru,,http://bbqshaverma.ru,,,,https://vk.com/bbqshaverma,,,,,,,,https://youtube.com/@bbqshaverma,59.937176,30.278461,https://2gis.com/firm/70000001028436001
Bristol Pub,пивной паб,Бары; Кафе; Рестораны,"улица Марата, 36-38",1 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+03:00,4.6,89,88126556636,,,bristolpub@mail.ru,,http://bristolspb.ru,,,,https://vk.com/bristol_pub,,,,,,https://t.me/bristolpub,,,59.925677,30.352145,https://2gis.com/firm/70000001046051132
MazaPark,парк развлечений,Боулинг; Бильярдные залы; Детские игровые залы / Игротеки; Роллердромы; Аттракционы; Клубы видеоигр; Компьютерные клубы; Спортивно-тактические клубы; Кафе; Караоке-залы; Бары; Автодромы / Мотодромы,"улица Бухарестская, 30",4 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 10:00-06:00; Вс: 10:00-06:00 (караоке-зал: по предварительной записи),+03:00,3.3,562,"88126433333 (единая справочная: пн-пт 11:00-6:00, сб-вс 10:00-6:00)",,,operator@mazapark.com,,http://mazapark.ru/?utm_source=2gis,,,https://twitter.com/maza_park,https://vk.com/mazapark,,,,,,,,https://youtube.com/user/mazapark,59.883591,30.369577,https://2gis.com/firm/5348553838817824
Juju`s cafe,кафе грузинской кухни,Кафе,"Союза Печатников, 28/29",1 этаж,190121,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.8,21,89219053006,,,jujuscafe@mail.ru,,,,,,https://vk.com/cafejujus,https://wa.me/79219053006,,,,,https://t.me/+79312899787,,,59.921905,30.284923,https://2gis.com/firm/70000001020596924
