Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Skype,Широта,Долгота,2GIS URL
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Думская, 4 лит А",цокольный этаж,191011,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.4,77,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.933751,30.329088,https://2gis.com/firm/70000001028085331
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Руставели, 61",1 этаж,195299,Муниципальный округ №21,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,45,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,60.031454,30.435005,https://2gis.com/firm/70000001058978190
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Кирпичный переулок, 4",цокольный этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.2,76,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.935826,30.315766,https://2gis.com/firm/70000001030250192
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Брантовская дорога, 3",-2 этаж,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.9,26,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.939993,30.416983,https://2gis.com/firm/70000001058978057
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров; Магазины разливного пива,"проспект Космонавтов, 45",1 этаж,196233,Гагаринское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,2.8,82,88127037003,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.851305,30.349812,https://2gis.com/firm/5348552838577230
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Коллонтай, 10",,193318,Правобережный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.9,38,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.916955,30.452279,https://2gis.com/firm/70000001058979534
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Караванная, 1 лит А",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,3.1,40,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.93677,30.340781,https://2gis.com/firm/70000001021802935
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Урхов переулок, 7 лит А",1 этаж,198095,Нарвский,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,15,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.892974,30.281205,https://2gis.com/firm/70000001058978123
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Маршала Жукова, 31 к1",,198332,Юго-Запад,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,2.7,65,88127037910,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.858701,30.228267,https://2gis.com/firm/5348552838577229
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Выборгское шоссе, 11","1, 2 этаж",194356,Шувалово-Озерки,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.6,30,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,60.047205,30.314875,https://2gis.com/firm/70000001058978228
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"Спасский переулок, 2/44",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,4.7,25,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.929469,30.317215,https://2gis.com/firm/70000001032397469
Ашан,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Культуры, 41",1 этаж,195276,Северный,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.2,73,88007005800 (единый номер: круглосуточно),,,,,http://auchan.ru,,,,https://vk.com/auchan,,,,,,https://t.me/auchanrusbot,,,,,60.053187,30.388883,https://2gis.com/firm/5348553838511883
Ашан,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Космонавтов, 14",1 этаж,196244,Гагаринское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 08:30-22:00; Вс: 08:30-22:00,+03:00,3.0,103,88007005800 (единый номер: круглосуточно),,,,,http://auchan.ru,,,,https://vk.com/auchan,,,,,,https://t.me/auchanrusbot,,,,,59.869382,30.350319,https://2gis.com/firm/5348553838959194
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Литейный проспект, 26 лит А",1 этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,77,88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),,,,,http://av.ru/?utm_campaign=SPB&utm_medium=map&utm_source=2gis,,,https://twitter.com/azbukavkusa,https://vk.com/azbukavkusa,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/user/azbukav,,59.942133,30.348772,https://2gis.com/firm/5348553838902185
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"переулок Ульяны Громовой, 8",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,3.4,12,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.934265,30.362181,https://2gis.com/firm/70000001034159122
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Московский проспект, 137",1 этаж,196105,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.0,98,88127037008,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.881688,30.314722,https://2gis.com/firm/5348552838577234
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Ефимова, 2",цокольный этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.9,133,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.926477,30.321106,https://2gis.com/firm/5348552838575377
Лента эконом,гипермаркет,Гипермаркеты,"проспект Энергетиков, 16а",,195248,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,13,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentaeconom,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.946817,30.434532,https://2gis.com/firm/70000001058979229
Магнит,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Лиговский проспект, 29",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.0,38,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.933672,30.36222,https://2gis.com/firm/70000001026755031
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Фонарный переулок, 7",цокольный этаж,190068,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,3.5,26,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.928486,30.304855,https://2gis.com/firm/70000001034027290
